student_id,age,attendance_percentage,math_score,science_score,english_score,overall_score,final_grade
50,18,79.2,86.6,91.1,100.0,95.9,a
51,18,70.3,66.9,66.7,82.8,76.2,c
52,15,73.0,87.1,78.6,99.8,90.4,b
53,16,70.5,77.9,80.5,79.9,77.0,c
54,16,91.4,95.8,93.3,85.2,88.4,b
55,16,90.7,91.9,85.6,100.0,92.5,b
56,14,68.7,39.3,25.2,39.2,39.5,f
57,17,84.9,83.4,81.5,79.5,86.2,b
58,14,76.6,67.8,81.5,67.3,76.9,c
59,18,87.4,39.8,40.9,59.9,41.1,e
60,18,52.5,51.3,48.7,53.4,46.2,e
61,19,66.8,69.7,61.7,53.0,65.1,d
62,18,66.8,78.9,63.1,83.9,85.8,b
63,16,79.8,76.1,61.2,76.7,77.4,c
64,19,60.4,62.7,65.5,47.6,54.9,e
65,16,76.6,84.1,83.3,88.2,80.9,c
66,15,99.0,32.1,28.5,38.0,39.2,f
67,19,52.2,33.8,45.9,47.3,46.9,e
68,16,75.2,57.3,100.0,71.8,82.4,c
69,14,56.9,54.0,34.8,35.3,40.8,e
70,16,79.1,80.1,57.2,47.2,57.1,d
71,18,62.0,32.0,30.9,51.4,24.6,f
72,15,95.1,41.4,43.6,23.8,50.0,e
73,16,65.9,33.9,62.8,30.7,37.1,f
74,14,97.9,53.1,58.0,59.5,59.5,d
75,18,50.2,48.3,63.2,46.5,51.5,e
76,16,91.6,99.6,100.0,99.1,96.4,a
77,15,63.1,36.6,40.0,23.7,32.0,f
78,15,60.1,71.2,87.5,84.0,80.7,c
79,17,94.2,94.7,75.8,100.0,91.5,b
80,18,65.2,5.9,19.0,12.8,32.7,f
81,19,79.2,74.0,75.2,54.3,59.6,d
82,16,86.8,44.8,48.9,54.0,58.5,d
83,14,71.0,83.6,100.0,98.5,83.0,c
84,18,55.1,74.1,55.2,72.0,69.1,d
85,17,96.1,63.8,57.9,53.0,61.7,d
86,18,82.4,49.0,45.7,45.0,43.9,e
87,14,94.6,74.3,57.7,46.7,61.3,d
88,15,88.4,67.7,81.7,89.5,73.9,c
89,18,88.7,55.6,73.1,57.4,53.4,e
90,18,79.5,57.0,56.1,62.6,63.4,d
91,16,50.3,71.3,50.2,63.1,59.9,d
92,18,94.1,80.5,86.2,79.4,82.0,c
93,19,91.5,40.0,46.1,31.2,41.3,e
94,16,86.4,57.3,49.7,54.7,59.5,d
95,19,93.9,80.2,93.9,87.6,76.8,c
96,15,59.2,86.9,79.9,88.2,87.9,b
97,15,64.1,65.6,73.9,70.1,66.6,d
98,18,57.9,42.3,46.6,57.5,46.2,e
99,17,82.3,37.2,50.4,48.3,39.9,f
100,14,71.9,67.8,57.0,61.6,66.9,d
101,18,55.1,76.8,73.0,74.8,66.8,d
102,15,78.8,72.3,48.8,70.5,68.8,d
103,18,66.9,68.7,72.3,64.8,73.5,c
104,14,74.5,77.9,75.6,89.0,81.9,c
105,18,63.1,100.0,90.8,96.0,86.4,b
106,18,58.1,24.0,58.0,23.3,39.3,f
107,18,72.5,39.3,44.8,42.7,52.9,e
108,17,61.3,68.3,78.7,66.9,75.9,c
109,16,70.3,71.6,60.4,85.2,65.2,d
110,18,69.1,73.4,96.5,74.7,82.4,c
111,15,97.0,58.0,71.2,49.0,67.3,d
112,18,59.3,98.5,85.1,76.7,88.9,b
113,17,64.3,21.1,43.7,43.6,35.7,f
114,16,89.6,81.1,63.6,67.7,74.2,c
115,17,64.8,73.7,64.0,52.8,61.3,d
116,17,74.0,44.4,35.1,20.1,37.1,f
117,14,88.1,57.0,61.8,63.6,54.8,e
118,14,50.2,39.2,12.8,40.9,32.1,f
119,15,97.8,65.9,32.0,41.9,39.6,f
120,14,73.1,82.3,79.1,72.6,81.9,c
121,16,88.0,92.4,76.4,86.1,92.0,b
122,18,96.0,100.0,71.6,83.4,89.4,b
123,17,93.8,92.7,100.0,95.8,98.4,a
124,16,61.0,85.3,86.2,80.0,87.8,b
125,19,77.8,100.0,100.0,76.9,87.1,b
126,17,70.5,62.7,52.9,52.8,53.1,e
127,14,76.6,40.3,64.6,67.1,52.7,e
128,18,89.0,83.8,71.4,71.2,82.6,c
129,17,67.7,72.3,71.7,66.9,65.0,d
130,17,73.9,80.4,66.8,92.5,81.1,c
131,17,80.4,72.7,78.1,75.3,73.8,c
132,17,63.5,27.5,63.3,41.9,40.6,e
133,14,80.3,49.8,39.9,35.2,43.3,e
134,17,57.4,99.2,81.5,86.3,78.3,c
135,18,81.1,77.4,70.7,84.0,73.4,c
136,15,57.2,59.8,53.9,63.5,50.1,e
137,17,88.8,72.8,80.9,87.6,81.6,c
138,14,59.7,43.6,78.1,50.4,54.2,e
139,16,82.3,59.7,71.3,67.0,67.6,d
140,16,79.1,88.7,76.9,76.4,85.7,b
141,19,71.3,53.8,46.4,54.2,52.6,e
142,15,82.3,73.5,100.0,92.8,89.7,b
143,15,92.3,58.5,59.0,66.5,62.0,d
144,16,56.0,79.1,91.3,92.0,78.7,c
145,19,83.8,99.1,100.0,96.2,95.6,a
146,19,70.5,90.9,86.7,82.9,90.2,b
147,14,83.7,93.3,78.5,82.8,84.5,c
148,15,93.8,58.1,77.1,74.9,71.7,c
149,18,82.6,87.0,58.0,76.3,68.7,d
150,14,58.0,41.0,73.1,57.3,61.2,d
151,19,70.8,47.8,30.8,32.8,36.9,f
152,15,77.5,52.8,37.9,45.6,39.3,f
153,19,56.3,12.8,26.2,14.7,22.6,f
154,15,82.2,100.0,91.6,92.1,87.5,b
155,16,85.7,45.4,37.1,55.7,46.8,e
156,17,88.1,75.8,57.7,77.6,77.5,c
157,14,56.0,35.6,20.4,33.1,26.5,f
158,17,85.3,39.8,41.5,27.9,38.4,f
159,17,68.3,53.4,67.8,55.6,58.1,d
160,18,60.6,82.7,71.7,77.0,86.0,b
161,19,76.2,51.0,48.2,54.2,48.9,e
162,17,78.6,80.1,69.3,61.2,86.0,b
163,16,72.8,43.3,13.9,45.8,37.8,f
164,16,92.0,67.0,93.9,65.3,71.9,c
165,16,57.8,39.0,38.4,35.6,43.4,e
166,18,70.4,54.1,59.9,70.7,58.3,d
167,15,63.4,18.0,45.5,36.2,37.8,f
168,15,52.4,29.6,50.3,27.8,32.4,f
169,16,67.0,70.4,64.0,69.2,66.2,d
170,14,85.9,95.2,71.2,80.1,78.4,c
171,14,76.2,54.8,33.5,38.2,39.6,f
172,14,70.9,86.9,84.2,97.3,86.7,b
173,18,73.7,80.7,80.6,58.2,80.8,c
174,18,65.6,43.7,50.5,39.8,50.5,e
175,18,56.1,55.8,42.0,37.8,48.2,e
176,16,79.5,50.8,52.3,79.3,63.4,d
177,18,90.8,77.3,100.0,99.8,86.1,b
178,14,89.5,48.0,62.7,64.5,63.1,d
179,19,61.7,35.8,28.0,36.3,36.9,f
180,17,71.7,45.7,24.3,40.3,43.7,e
181,19,77.6,38.0,51.5,59.8,49.5,e
182,14,90.1,49.9,56.9,47.5,59.5,d
183,16,59.8,78.7,64.1,81.9,73.0,c
184,18,56.6,79.1,89.3,98.0,81.5,c
185,16,96.6,50.3,47.4,61.8,59.7,d
186,16,57.3,32.5,39.6,41.6,38.6,f
187,14,99.5,51.7,49.6,46.3,44.7,e
188,16,79.9,64.3,47.5,54.3,58.4,d
189,15,74.9,70.4,72.9,55.4,71.8,c
190,15,59.4,65.5,73.4,77.6,76.1,c
191,18,93.0,73.9,92.3,80.2,86.6,b
192,17,58.6,7.6,32.8,16.7,25.5,f
193,17,70.1,71.1,55.2,78.0,80.1,c
194,16,52.4,90.4,88.5,91.3,84.1,c
195,19,51.1,24.7,36.9,36.8,32.5,f
196,14,86.5,82.8,100.0,96.6,93.0,b
197,16,60.4,62.6,78.9,78.5,71.9,c
198,14,80.0,86.3,92.6,94.7,90.7,b
199,16,86.2,71.3,56.8,69.7,60.9,d
200,19,74.6,45.7,43.3,65.7,54.9,e
201,16,82.8,84.0,93.9,98.9,90.0,b
202,19,62.1,38.3,44.0,43.1,50.1,e
203,16,90.9,100.0,92.8,100.0,100.0,a
204,18,60.3,41.8,40.5,37.8,42.2,e
205,16,79.5,45.8,63.5,50.2,59.9,d
206,15,91.8,72.1,93.0,76.3,82.7,c
207,18,89.7,84.1,82.3,71.1,80.2,c
208,19,52.6,68.6,60.5,66.4,57.8,d
209,15,68.4,58.9,61.4,67.7,65.2,d
210,18,92.6,89.1,77.9,93.2,82.5,c
211,15,92.5,79.9,73.5,86.9,76.2,c
212,18,81.8,84.3,67.5,64.3,65.5,d
213,18,55.4,52.9,50.8,69.7,62.8,d
214,16,70.2,79.3,51.6,47.3,61.4,d
215,18,98.1,90.9,92.9,74.5,83.2,c
216,15,55.3,58.4,68.2,52.9,67.5,d
217,14,90.1,82.4,48.1,66.6,75.7,c
218,14,70.9,35.3,47.9,35.1,43.0,e
219,16,87.2,54.4,52.6,46.8,52.1,e
220,19,52.7,53.2,49.2,42.7,47.3,e
221,14,50.5,55.3,61.3,54.4,61.5,d
222,16,65.0,100.0,99.3,71.5,82.4,c
223,18,93.5,99.0,98.9,100.0,99.1,a
224,15,84.0,69.6,45.8,67.5,69.1,d
225,18,80.6,85.5,91.5,82.8,77.4,c
226,15,99.9,93.0,95.9,78.3,85.6,b
227,18,67.4,72.0,56.3,52.6,63.1,d
228,17,92.5,87.3,74.9,90.4,80.2,c
229,17,55.5,76.3,64.3,66.4,54.8,e
230,15,58.5,47.1,71.6,47.1,44.6,e
231,16,73.9,99.2,100.0,96.2,97.2,a
232,19,98.0,83.9,63.3,86.5,70.5,c
233,14,85.2,39.8,46.2,50.7,39.7,f
234,18,55.6,41.0,45.5,50.3,52.6,e
235,16,97.7,90.5,87.7,85.7,95.5,a
236,18,88.3,34.5,37.6,53.8,39.4,f
237,17,86.8,100.0,95.5,63.0,87.6,b
238,16,77.6,92.3,100.0,99.0,100.0,a
239,15,69.7,51.8,50.2,59.2,63.7,d
240,17,55.5,47.9,32.7,32.3,39.2,f
241,14,81.0,56.6,19.4,28.1,36.1,f
242,17,56.4,14.4,39.3,27.5,28.6,f
243,14,79.5,85.1,67.8,74.7,64.0,d
244,17,77.0,72.7,86.0,73.9,82.2,c
245,17,79.8,77.5,95.8,100.0,95.8,a
246,14,91.3,29.1,46.6,40.8,44.0,e
247,18,70.6,69.7,71.9,55.9,69.1,d
248,16,71.8,66.0,73.7,62.2,70.3,c
249,18,53.0,39.1,31.6,34.5,40.0,e
250,14,64.4,53.7,68.1,54.1,59.2,d
251,15,54.1,74.3,99.7,76.5,87.5,b
252,16,57.1,55.5,51.3,55.0,48.8,e
253,15,71.3,27.0,30.2,38.5,32.5,f
254,15,70.4,74.5,82.2,61.5,63.2,d
255,17,96.8,45.0,45.6,26.8,38.2,f
256,14,56.0,74.0,61.4,71.1,77.6,c
257,18,57.5,82.6,94.5,88.1,87.9,b
258,14,87.5,13.5,46.3,21.7,34.9,f
259,15,51.1,66.7,56.7,45.3,58.4,d
260,17,82.5,95.2,80.5,90.3,93.4,b
261,18,87.4,80.5,88.2,60.3,75.8,c
262,15,81.4,58.2,70.5,74.0,67.4,d
263,15,64.4,86.2,98.5,87.4,86.1,b
264,19,55.2,23.7,38.5,49.4,36.2,f
265,19,99.7,65.3,58.8,63.1,75.7,c
266,17,93.0,68.4,62.7,48.3,55.3,d
267,16,86.5,48.2,58.7,59.4,51.8,e
268,16,59.4,71.0,63.0,80.2,72.6,c
269,17,71.5,54.6,94.8,53.4,69.4,d
270,17,85.5,65.1,65.8,90.1,74.9,c
271,15,55.1,18.7,23.0,22.3,30.2,f
272,14,97.9,96.9,100.0,100.0,100.0,a
273,14,97.8,52.3,45.4,56.2,58.8,d
274,19,57.5,58.8,61.4,71.0,62.3,d
275,16,59.9,54.4,42.4,28.0,49.2,e
276,16,68.2,83.2,68.8,100.0,69.0,d
277,16,72.5,64.8,50.3,60.1,60.3,d
278,18,72.0,47.6,78.2,71.2,58.1,d
279,14,84.4,57.5,61.8,71.5,70.7,c
280,14,73.5,46.4,64.0,60.3,56.5,d
281,15,59.2,77.3,61.5,85.9,75.9,c
282,16,63.1,69.4,57.6,76.9,59.3,d
283,18,70.6,85.8,89.6,76.3,76.3,c
284,16,76.0,48.7,29.6,44.1,28.0,f
285,16,96.2,45.7,60.1,47.1,46.8,e
286,19,54.8,31.0,34.5,42.5,36.4,f
287,14,90.2,52.0,59.2,54.9,52.6,e
288,17,65.5,51.0,71.4,71.4,69.3,d
289,17,86.4,53.0,43.5,51.0,53.1,e
290,16,62.9,27.4,42.7,27.9,31.0,f
291,18,69.3,30.1,34.0,40.5,42.2,e
292,15,72.2,77.4,69.3,74.3,64.6,d
293,19,87.5,74.9,80.7,94.4,82.4,c
294,15,58.3,50.9,59.1,36.1,55.9,d
295,17,67.3,72.7,88.8,84.2,88.3,b
296,17,76.4,49.5,68.7,30.6,48.0,e
297,19,82.9,92.9,80.7,75.3,73.4,c
298,16,53.8,50.5,44.9,35.6,48.5,e
299,15,54.7,86.0,73.1,62.7,75.1,c
300,14,85.9,50.1,56.8,53.5,56.7,d
301,16,68.3,97.5,86.9,75.7,90.9,b
302,18,58.3,60.0,54.9,73.2,67.6,d
303,14,63.2,49.6,80.9,62.2,60.2,d
304,19,79.9,77.5,82.6,65.9,73.2,c
305,17,97.7,78.4,57.8,69.0,64.3,d
306,14,86.6,37.1,48.0,41.5,45.8,e
307,15,89.9,99.7,100.0,97.4,96.6,a
308,17,80.4,55.3,70.7,100.0,75.0,c
309,15,68.6,28.2,21.1,36.6,39.1,f
310,14,98.1,76.3,42.1,51.3,50.3,e
311,17,54.1,43.4,36.5,55.7,48.2,e
312,18,90.4,85.3,91.1,100.0,91.6,b
313,14,62.9,58.2,38.9,45.7,51.9,e
314,15,80.4,67.0,86.2,73.8,77.7,c
315,15,99.1,53.7,49.6,53.2,47.6,e
316,17,92.1,100.0,100.0,95.4,100.0,a
317,18,92.5,47.1,56.5,53.0,50.5,e
318,18,91.2,65.0,39.6,70.0,50.5,e
319,19,72.7,65.5,59.2,78.9,81.4,c
320,18,69.7,70.7,82.9,69.9,74.5,c
321,15,75.9,82.4,62.1,87.3,69.2,d
322,14,64.3,100.0,97.6,86.0,90.7,b
323,17,73.9,30.4,33.8,38.1,35.1,f
324,19,56.3,27.3,36.1,15.1,34.1,f
325,19,94.6,58.1,65.2,62.3,55.8,d
326,15,86.8,26.4,38.4,48.7,46.2,e
327,15,53.1,68.2,60.8,53.2,68.1,d
328,14,83.0,63.5,74.2,60.4,60.8,d
329,14,87.9,56.4,73.4,73.7,64.1,d
330,17,93.1,95.9,100.0,90.5,96.0,a
331,17,66.5,55.8,42.3,50.6,55.8,d
332,16,81.5,30.2,43.0,56.8,45.1,e
333,15,63.8,60.9,51.2,61.0,61.6,d
334,18,92.4,68.4,76.2,89.4,82.6,c
335,16,93.8,62.8,61.3,81.9,69.4,d
336,18,53.8,74.4,69.1,71.1,79.6,c
337,19,64.3,92.7,77.4,69.6,77.6,c
338,15,55.1,85.0,67.5,80.0,76.4,c
339,15,69.9,97.2,77.2,73.8,81.9,c
340,19,50.3,45.7,43.3,51.7,51.8,e
341,17,89.1,97.1,100.0,100.0,100.0,a
342,15,71.6,65.5,65.2,70.4,62.9,d
343,17,76.7,52.9,56.9,48.7,51.9,e
344,17,87.1,59.1,46.6,65.7,47.9,e
345,19,85.6,91.5,84.4,100.0,84.7,c
346,15,65.7,65.0,58.1,47.6,55.8,d
347,19,89.1,87.8,100.0,100.0,90.6,b
348,19,82.0,100.0,100.0,93.9,99.6,a
349,15,60.9,48.2,54.1,38.2,53.1,e
350,14,51.5,64.0,30.7,41.0,40.1,e
351,17,87.8,41.3,51.2,49.3,44.4,e
352,14,58.3,66.5,60.4,59.6,65.1,d
353,15,55.6,66.6,54.5,56.5,58.9,d
354,16,71.0,73.9,48.0,57.2,49.9,e
355,19,96.1,88.3,79.0,60.4,77.6,c
356,19,85.9,62.3,80.5,69.6,70.8,c
357,14,89.9,76.6,56.0,53.7,65.9,d
358,19,63.5,24.5,45.8,35.5,40.4,e
359,14,91.8,55.1,57.3,76.4,60.3,d
360,18,70.8,70.7,100.0,81.5,78.5,c
361,19,99.0,63.3,66.1,91.2,67.5,d
362,19,78.5,47.8,50.8,34.7,40.0,e
363,15,80.3,80.4,86.9,81.8,69.4,d
364,19,95.8,90.7,68.2,87.4,78.2,c
365,14,97.4,74.6,79.5,62.7,79.7,c
366,17,50.9,35.7,55.2,44.2,50.2,e
367,16,61.6,67.2,53.4,76.5,62.3,d
368,15,80.7,85.1,78.8,87.3,82.9,c
369,14,50.2,67.1,82.3,77.3,85.1,b
370,18,65.9,71.9,83.5,58.9,75.5,c
371,16,59.8,50.7,77.3,42.1,61.0,d
372,17,76.2,11.7,31.3,41.9,33.1,f
373,16,79.9,66.8,55.7,53.7,65.3,d
374,16,59.5,75.7,100.0,98.7,82.2,c
375,19,76.8,31.5,43.5,47.9,37.8,f
376,14,69.8,41.5,48.7,14.4,40.8,e
377,18,99.5,61.0,63.7,85.1,80.5,c
378,18,53.3,63.6,58.7,67.7,74.8,c
379,16,92.0,38.7,32.7,35.0,36.3,f
380,15,100.0,100.0,100.0,100.0,100.0,a
381,14,77.1,70.5,57.3,54.6,57.0,d
382,19,84.0,85.2,77.0,86.5,83.1,c
383,19,56.4,89.5,72.6,71.4,83.7,c
384,15,67.5,83.8,91.4,91.5,82.9,c
385,14,59.1,91.7,88.2,66.9,83.0,c
386,14,79.2,81.9,87.0,90.2,93.4,b
387,14,97.1,86.6,92.9,90.5,93.7,b
388,18,51.5,58.1,50.9,74.3,59.2,d
389,19,74.7,51.9,43.5,40.9,52.0,e
390,14,86.2,33.2,47.7,49.0,45.7,e
391,18,71.5,27.5,63.8,50.8,43.5,e
392,15,76.9,71.6,83.8,88.4,80.8,c
393,16,72.6,40.5,53.8,45.1,47.9,e
394,17,79.9,97.5,91.6,100.0,94.3,b
395,18,53.4,14.0,32.5,49.1,34.9,f
396,19,77.3,65.3,48.5,34.6,42.4,e
397,14,75.6,41.5,52.7,46.8,50.4,e
398,15,59.1,15.7,37.5,32.7,32.1,f
399,15,76.7,30.1,32.0,35.4,43.8,e
400,15,73.2,60.0,60.3,77.5,61.5,d
401,19,79.7,45.4,54.9,52.5,55.0,e
402,18,78.2,78.6,86.6,78.4,80.6,c
403,15,70.2,51.9,59.7,46.0,56.1,d
404,19,89.1,89.1,81.1,92.8,88.2,b
405,16,67.9,74.9,87.5,83.6,76.2,c
406,17,73.7,52.6,62.2,36.5,48.6,e
407,16,71.3,48.3,26.2,38.3,31.9,f
408,14,74.3,77.4,71.8,89.9,81.6,c
409,19,90.0,69.3,73.0,83.0,79.9,c
410,14,85.5,50.1,34.4,31.9,41.0,e
411,15,52.1,62.1,58.2,55.2,58.3,d
412,15,74.7,60.0,71.7,45.2,61.2,d
413,15,56.2,40.0,37.3,24.3,38.3,f
414,14,86.5,39.3,56.9,53.2,44.9,e
415,14,99.3,94.2,97.4,95.1,80.8,c
416,18,80.9,64.4,65.3,51.6,55.1,d
417,19,69.0,72.9,80.2,76.2,70.4,c
418,14,53.6,34.3,46.6,31.7,37.6,f
419,15,66.6,28.2,46.6,45.0,45.9,e
420,17,76.3,66.5,47.9,62.9,58.8,d
421,19,94.0,66.7,77.4,71.0,65.9,d
422,18,75.6,90.1,89.0,76.0,80.4,c
423,18,99.2,67.3,67.6,89.8,81.6,c
424,17,68.5,39.7,39.4,29.3,41.3,e
425,16,50.0,32.0,34.4,49.2,34.5,f
426,15,81.4,36.0,50.8,46.0,54.8,e
427,19,61.0,58.8,83.5,79.5,73.9,c
428,18,62.2,60.8,66.3,42.9,58.1,d
429,14,50.9,100.0,86.2,67.1,79.1,c
430,18,76.6,66.8,52.0,37.1,54.0,e
431,14,62.4,42.2,53.0,47.2,60.4,d
432,18,99.7,87.3,98.0,97.2,85.4,b
433,18,91.8,69.8,68.0,73.5,76.9,c
434,14,86.1,63.2,42.4,62.8,56.7,d
435,16,67.7,53.8,50.8,58.3,52.6,e
436,14,53.6,52.9,57.7,65.6,59.2,d
437,17,83.4,100.0,100.0,100.0,100.0,a
438,19,51.1,41.1,48.8,38.2,40.5,e
439,14,72.1,84.2,91.1,77.6,81.7,c
440,16,52.6,86.6,93.4,71.9,86.6,b
441,19,78.0,67.9,62.6,68.7,67.8,d
442,15,78.0,62.7,62.6,61.2,61.8,d
443,14,76.5,64.0,50.6,40.5,50.8,e
444,16,85.7,90.8,97.4,75.1,81.9,c
445,17,61.4,87.5,66.0,67.6,75.7,c
446,17,62.1,60.3,75.5,67.8,80.6,c
447,15,70.8,46.2,60.9,57.2,41.9,e
448,19,85.1,81.0,100.0,97.5,91.5,b
449,17,55.8,43.2,41.8,56.8,41.3,e
450,15,94.3,89.3,75.7,86.4,77.5,c
451,19,62.6,26.2,46.3,48.2,37.0,f
452,19,56.4,52.3,60.7,32.5,50.0,e
453,16,79.9,69.8,75.3,68.6,75.3,c
454,14,63.8,66.8,76.3,68.3,56.7,d
455,17,70.4,96.0,92.5,100.0,93.9,b
456,17,53.1,46.3,51.4,58.3,49.5,e
457,14,73.2,74.4,92.0,67.4,76.9,c
458,17,65.2,64.7,60.5,67.8,61.8,d
459,19,58.5,49.8,50.7,19.9,32.5,f
460,14,69.3,51.1,56.3,47.1,48.5,e
461,18,88.5,91.9,80.9,92.0,86.9,b
462,14,88.2,90.3,95.5,70.5,80.6,c
463,18,68.0,35.2,32.1,38.0,36.9,f
464,16,98.7,52.0,50.5,59.0,61.9,d
465,14,56.3,63.5,62.6,59.7,62.3,d
466,19,92.7,81.0,65.9,67.9,71.9,c
467,14,98.9,79.1,77.4,69.5,79.9,c
468,17,78.6,81.0,87.0,82.8,91.4,b
469,15,53.0,43.7,28.4,39.7,36.9,f
470,19,96.1,68.8,34.7,38.1,51.0,e
471,18,71.8,34.9,42.4,28.9,34.3,f
472,18,58.6,67.0,81.2,77.8,75.0,c
473,16,94.6,93.4,89.0,83.0,82.8,c
474,16,71.3,45.6,39.1,28.8,36.4,f
475,17,75.0,82.1,67.5,80.9,76.2,c
476,18,78.6,79.9,81.6,82.8,77.4,c
477,19,95.3,67.8,60.0,73.6,66.0,d
478,14,75.2,45.8,23.0,28.6,30.2,f
479,17,94.4,91.1,64.3,95.8,83.8,c
480,14,58.5,65.4,75.9,61.7,65.9,d
481,15,80.8,52.9,41.1,35.5,48.8,e
482,18,76.3,45.3,53.0,35.4,46.8,e
483,15,66.3,43.8,32.5,46.9,45.8,e
484,18,60.6,63.9,58.9,54.9,66.2,d
485,16,53.5,55.8,60.2,57.9,48.6,e
486,15,63.1,52.4,63.1,63.5,54.4,e
487,16,84.0,60.2,73.2,75.4,60.6,d
488,17,63.9,81.6,74.8,84.4,79.3,c
489,18,86.4,76.1,57.7,51.8,68.2,d
490,17,93.8,73.7,65.6,60.1,61.1,d
491,19,84.7,53.8,44.3,58.7,60.0,d
492,19,90.3,88.9,77.4,87.9,83.4,c
493,18,78.7,100.0,90.7,97.2,98.2,a
494,17,97.3,100.0,100.0,100.0,98.2,a
495,15,88.1,43.1,53.7,57.5,60.2,d
496,16,66.1,50.4,52.4,52.4,50.7,e
497,14,86.2,56.9,41.9,56.8,54.9,e
498,16,83.6,98.3,95.9,86.1,85.3,b
499,19,87.6,83.1,78.1,71.0,70.8,c
500,16,66.0,63.6,52.9,53.6,57.1,d
501,14,75.5,98.3,84.3,74.7,74.2,c
502,17,94.0,69.0,77.6,57.5,63.4,d
503,19,98.8,81.4,81.7,79.5,86.1,b
504,19,68.0,48.0,49.6,30.4,38.4,f
505,15,74.3,59.9,61.1,60.3,61.2,d
506,16,66.5,46.3,28.5,35.6,42.0,e
507,17,85.9,37.8,50.7,30.7,46.9,e
508,15,51.9,33.3,33.3,52.9,38.5,f
509,15,97.7,68.6,70.4,78.8,83.3,c
510,15,77.5,80.6,82.6,74.1,80.3,c
511,19,63.5,60.1,70.5,59.9,66.6,d
512,18,51.9,67.7,64.6,37.9,44.8,e
513,19,78.0,91.6,77.8,72.7,79.2,c
514,18,79.3,82.0,74.1,80.8,86.5,b
515,19,84.8,60.8,63.8,76.3,68.3,d
516,14,76.3,65.2,82.6,69.0,72.1,c
517,19,75.8,84.0,100.0,100.0,92.0,b
518,14,65.2,54.6,72.8,74.2,63.9,d
519,16,59.7,37.5,42.5,17.7,38.1,f
520,17,62.6,52.9,55.1,64.4,59.4,d
521,16,68.7,29.5,34.8,30.1,39.9,f
522,14,88.7,95.1,87.6,93.9,82.5,c
523,15,55.9,65.5,73.2,66.1,71.0,c
524,18,82.2,85.5,75.6,86.4,91.1,b
525,15,51.9,42.6,13.7,25.7,26.1,f
526,15,52.2,81.0,60.0,68.4,62.4,d
527,19,63.7,87.8,79.3,65.5,78.7,c
528,14,67.9,86.8,78.3,86.6,84.5,c
529,19,59.5,66.4,77.0,85.7,73.5,c
530,19,94.3,73.2,65.3,64.7,62.6,d
531,17,65.2,79.7,88.8,85.6,84.9,c
532,14,73.4,77.9,100.0,82.9,92.2,b
533,14,99.7,95.8,89.1,100.0,100.0,a
534,15,62.7,60.0,72.3,77.2,71.1,c
535,17,80.9,77.5,87.7,87.1,85.6,b
